FILA 01,FILA 01,MAC ADDRESS
699,10.0.83.85,B8:AE:ED:83:28:D3
787,10.0.83.86,B8:AE:ED:83:29:02
830,10.0.83.87,B8:AE:ED:83:29:5B
700,10.0.83.88,B8:AE:ED:83:28:DA
791,10.0.83.89,B8:AE:ED:83:28:E0
FILA 02,FILA 02,MAC ADDRESS
718,10.0.83.90,B8:AE:ED:83:28:D5
774,10.0.83.91,B8:AE:ED:83:21:EB
781,10.0.83.92,B8:AE:ED:83:28:FC
sem tombo,10.0.83.93,B8:AE:ED:83:22:6B
701,10.0.83.94,B8:AE:ED:83:28:EF
FILA 03,FILA 03,MAC ADDRESS
sem tombo ,10.0.83.95,B8:AE:ED:83:28:F6
784,10.0.83.96,B8:AE:ED:83:28:DF
786,10.0.83.97,B8:AE:ED:83:29:0B
334,10.0.83.98,B8:AE:ED:83:A9:7A
sem tombo,10.0.83.99,B8:AE:ED:83:28:F3
FILA 04,FILA 04,MAC ADDRESS
776,10.0.83.100,B8:AE:ED:83:28:C5
335,10.0.83.101,B8:AE:ED:83:29:17
783,10.0.83.102,B8:AE:ED:83:23:9A
3586,10.0.83.103,B8:AE:ED:83:28:FF
FILA 05,FILA 05,MAC ADDRESS
3603,10.0.83.104,B8:AE:ED:83:27:BB
sem tombo ,10.0.83.105,B8:AE:ED:83:28:ED
sem tombo ,10.0.83.106,B8:AE:ED:83:28:FD
775,10.0.83.107,B8:AE:ED:83:23:7C
sem tombo ,10.0.83.108,B8:AE:ED:83:29:16
